timestamp,temperature,temperature_class,humidity,humidity_class
775437046,21.6,ambiante,70.2,confortable
775437050,21.6,ambiante,70.1,confortable
775437053,21.7,ambiante,70,confortable
775437057,21.6,ambiante,70,confortable
775437061,21.6,ambiante,69.8,confortable
775437064,21.6,ambiante,69.6,confortable
775437068,21.6,ambiante,69.5,confortable
775437071,21.6,ambiante,69.6,confortable
775437075,21.6,ambiante,69.6,confortable
775437079,21.6,ambiante,69.8,confortable
775437082,21.5,ambiante,69.7,confortable
775437086,21.5,ambiante,69.5,confortable
775437089,21.5,ambiante,69.5,confortable
775437093,21.5,ambiante,69.6,confortable
775437097,21.5,ambiante,69.5,confortable
775437100,21.5,ambiante,69.5,confortable
775437104,21.5,ambiante,69.4,confortable
775437107,21.5,ambiante,69.4,confortable
775437111,21.5,ambiante,69.4,confortable
775437115,21.5,ambiante,69.3,confortable
775437118,21.5,ambiante,69.4,confortable
775437122,21.5,ambiante,69.5,confortable
775437125,21.4,ambiante,69.5,confortable
775437129,21.5,ambiante,69.7,confortable
775437133,21.4,ambiante,69.9,confortable
775437136,21.4,ambiante,70,confortable
775437140,21.4,ambiante,70.2,confortable
775437143,21.4,ambiante,70.2,confortable
775437147,21.4,ambiante,70.2,confortable
775437151,21.4,ambiante,70.2,confortable
775437154,21.4,ambiante,70.3,confortable
775437158,21.4,ambiante,70.4,confortable
775437161,21.4,ambiante,70.4,confortable
775437165,21.4,ambiante,70.4,confortable
775437169,21.4,ambiante,70.5,confortable
775437172,21.4,ambiante,70.7,confortable
775437176,21.4,ambiante,70.9,confortable
775437179,21.4,ambiante,71.1,confortable
775437183,21.4,ambiante,71.2,confortable
775437187,21.4,ambiante,71.2,confortable
775437190,21.4,ambiante,71.1,confortable
775437194,21.4,ambiante,71.1,confortable
775437197,21.4,ambiante,71.2,confortable
775437201,21.4,ambiante,71.3,confortable
775437205,21.4,ambiante,71.4,confortable
775437208,21.4,ambiante,71.3,confortable
775437212,21.4,ambiante,71.2,confortable
775437215,21.3,ambiante,71,confortable
775437219,21.3,ambiante,71,confortable
775437223,21.3,ambiante,70.9,confortable
775437226,21.3,ambiante,71,confortable
775437230,21.3,ambiante,71.3,confortable
